Jakarta Selatan,For Sale Rumah Lama Harga Dibawah NJOP Area Komersil Lokasi Strategis bisa Multifungsi dan bisa Buat Hotel atau Showroom atau Bengkel atau Klinik atau Gedung atau Resto atau Cafe atau Supermarket Area Hj Nawi Cipete Fatmawati Dekat Kebayoran Baru Jakarta,Rp 55 Miliar,"Kebayoran Baru, Jakarta Selatan",7 + 1,7 + 3,10,LT:  1800 m²,LB:  1600 m²
Jakarta Selatan,For Sale Rumah Murah Dekat MRT dan Fatmawati dan Cipete Raya dan Sekolah Internasional dan Kemang dan Kebayoran Baru Area Cipete Jakarta Selatan,"Rp 9,5 Miliar","Cipete, Jakarta Selatan",5,3,4,LT:  463 m²,LB:  310 m²
Jakarta Selatan,For Sale Cepat Rumah Murah Tanah Luas Harga Murah Lokasi Strategis Area Pejaten Barat Kemang Jakarta Selatan,"Rp 7,5 Miliar","Pejaten, Jakarta Selatan",3,2,4,LT:  404 m²,LB:  250 m²
Jakarta Selatan,For Salerumah Modern Dalam Townhouse Lokasi Dekat Sekolah Internasional dan Kemang Raya Area Kemang Jakarta Selatan,Rp 16 Miliar,"Kemang, Jakarta Selatan",4,3,4,LT:  412 m²,LB:  400 m²
Jakarta Selatan,For Sale Rumah Lama Tanah Luas bisa Bangun Rumah atau Mini Townhouse atau Tempat Tinggal Dekat Sekolah Internasional dan Dekat Kuliner dan MRT Cipete Harga Murah Area Cipete Jakarta Selatan,Rp 22 Miliar,"Cipete, Jakarta Selatan",5,3,4,LT:  931 m²,LB:  325 m²
Jakarta Selatan,For Sale House Mewah Modern Lokasi Dekat Blok M dan Mabes dan Perkantoran Area Kebayoran Baru Jakarta Selatan,Rp 32 Miliar,"Kebayoran Baru, Jakarta Selatan",5,4,4,LT:  346 m²,LB:  400 m²
Jakarta Selatan,For Sale Rumah Murah Harga Murah Lokasi Strategis Kemang Raya dan Ampera dan Pejaten dan Cocok untuk Investasi Area Pejaten Kemang Jakarta Selatan,"Rp 7,5 Miliar","Kemang, Jakarta Selatan",3,2,4,LT:  404 m²,LB:  250 m²
Jakarta Utara,"Dijual Rumah Cantik di Lokasi Premier Danau Sunter, Full Furnish","Rp 8,25 MiliarRp 10.5 MTurun Rp 2.2 Miliaran","Sunter, Jakarta Utara",4 + 1,5 + 1,1 + 2,LT:  300 m²,LB:  500 m²
Jakarta Utara,Cash / KPR - Rumah Pik2 10X20 [4+1 Kamar Tidur],"Rp 7,2 Miliar","Pantai Indah Kapuk 2, Jakarta Utara",4 + 1,4 + 1,2,LT:  200 m²,LB:  224 m²
Jakarta Utara,Turun Harga - Rumah Bgm 12X25 Pik 1 Full Furnish Interior Mewah - Unit Langka Segera Terjual!,"Rp 11,8 MiliarRp 12.9 MTurun Rp 1.1 Miliaran","Pantai Indah Kapuk, Jakarta Utara",7 + 2,7 + 2,2 + 2,LT:  300 m²,LB:  555 m²
Jakarta Utara,Rumah Sunter SHM,Rp 5 MiliarRp 5.5 MTurun Rp 500 Jutaan,"Sunter, Jakarta Utara",3,3,0,LT:,LB:
